textbox1,textbox77
Resultado do script - volume de filas por dia,"Este relatório exibe dados relacionados à chamada que usuários inseriram em scripts durante ou após chamada, relacionado ao dia e volume da fila. Inclui apenas itens que usuários podem selecionar (texto livre omitido).

Parâmetros dos relatórios: 
- Anos:    2026
- Meses:    2026-06
- Dias:    2026-06-11
- Aplicações:    ContactCenter
- Filas:    ATENDENTE - VAB,   CANCELAMENTO - VAB,   ELOGIO - VAB,   INFORMAÇÃO - VAB,   RECLAMAÇÃO - VAB,   SUGESTÃO - VAB,   TROCA - VAB
- Scripts:    Pesquisa de Satisfação VAB
- Perguntas:    Qualidade do atendimento?
- REP_XFLD_ANSWER:    1,   2,   3,   4,   5"

textbox2,textbox4,textbox19,textbox3,textbox6,textbox8,textbox10,textbox12,textbox56,textbox47,The_Date_attribute,Queue_Name_attribute_1,textbox31,textbox37,textbox9,Infocard,textbox30,textbox43,Question,textbox35,textbox36,Answer,textbox42,textbox61,textbox55
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-11,ATENDENTE - VAB,,,"0,00%",Pesquisa de Satisfação VAB,38,38,Qualidade do atendimento?,,38,1,5,"13,16%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-11,ATENDENTE - VAB,,,"0,00%",Pesquisa de Satisfação VAB,38,38,Qualidade do atendimento?,,38,5,33,"86,84%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-11,CANCELAMENTO - VAB,,,"0,00%",Pesquisa de Satisfação VAB,9,9,Qualidade do atendimento?,,9,1,3,"33,33%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-11,CANCELAMENTO - VAB,,,"0,00%",Pesquisa de Satisfação VAB,9,9,Qualidade do atendimento?,,9,4,1,"11,11%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-11,CANCELAMENTO - VAB,,,"0,00%",Pesquisa de Satisfação VAB,9,9,Qualidade do atendimento?,,9,5,5,"55,56%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-11,ELOGIO - VAB,,,"0,00%",Pesquisa de Satisfação VAB,5,5,Qualidade do atendimento?,,5,1,1,"20,00%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-11,ELOGIO - VAB,,,"0,00%",Pesquisa de Satisfação VAB,5,5,Qualidade do atendimento?,,5,5,4,"80,00%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-11,INFORMAÇÃO - VAB,,,"0,00%",Pesquisa de Satisfação VAB,5,5,Qualidade do atendimento?,,5,5,5,"100,00%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-11,RECLAMAÇÃO - VAB,,,"0,00%",Pesquisa de Satisfação VAB,1,1,Qualidade do atendimento?,,1,5,1,"100,00%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-11,TROCA - VAB,,,"0,00%",Pesquisa de Satisfação VAB,30,30,Qualidade do atendimento?,,30,1,3,"10,00%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-11,TROCA - VAB,,,"0,00%",Pesquisa de Satisfação VAB,30,30,Qualidade do atendimento?,,30,2,1,"3,33%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-11,TROCA - VAB,,,"0,00%",Pesquisa de Satisfação VAB,30,30,Qualidade do atendimento?,,30,4,1,"3,33%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-11,TROCA - VAB,,,"0,00%",Pesquisa de Satisfação VAB,30,30,Qualidade do atendimento?,,30,5,25,"83,33%","0,00%"

Label,chart1_CategoryQuestion_label,chart1_CategoryQuestion_chart1_CategoryAnswer_label,chart1_CategoryQuestion_chart1_CategoryAnswer_Value_DataValue0
Quantidade,Qualidade do atendimento?,1,12
Quantidade,Qualidade do atendimento?,5,73
Quantidade,Qualidade do atendimento?,4,2
Quantidade,Qualidade do atendimento?,2,1

