textbox1,textbox77
Resultado do script - volume de filas por dia,"Este relatório exibe dados relacionados à chamada que usuários inseriram em scripts durante ou após chamada, relacionado ao dia e volume da fila. Inclui apenas itens que usuários podem selecionar (texto livre omitido).

Parâmetros dos relatórios: 
- Anos:    2026
- Meses:    2026-06
- Dias:    2026-06-12
- Aplicações:    ContactCenter
- Filas:    ATENDENTE - VAB,   CANCELAMENTO - VAB,   ELOGIO - VAB,   INFORMAÇÃO - VAB,   RECLAMAÇÃO - VAB,   SUGESTÃO - VAB,   TROCA - VAB
- Scripts:    Pesquisa de Satisfação VAB
- Perguntas: All
- REP_XFLD_ANSWER:    1,   2,   3,   4,   5"

textbox2,textbox4,textbox19,textbox3,textbox6,textbox8,textbox10,textbox12,textbox56,textbox47,The_Date_attribute,Queue_Name_attribute_1,textbox31,textbox37,textbox9,Infocard,textbox30,textbox43,Question,textbox35,textbox36,Answer,textbox42,textbox61,textbox55
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-12,ATENDENTE - VAB,,34,"0,00%",Pesquisa de Satisfação VAB,62,29,Qualidade da solução?,,29,1,3,"10,34%","8,82%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-12,ATENDENTE - VAB,,34,"0,00%",Pesquisa de Satisfação VAB,62,29,Qualidade da solução?,,29,3,1,"3,45%","2,94%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-12,ATENDENTE - VAB,,34,"0,00%",Pesquisa de Satisfação VAB,62,29,Qualidade da solução?,,29,4,1,"3,45%","2,94%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-12,ATENDENTE - VAB,,34,"0,00%",Pesquisa de Satisfação VAB,62,29,Qualidade da solução?,,29,5,24,"82,76%","70,59%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-12,ATENDENTE - VAB,,34,"0,00%",Pesquisa de Satisfação VAB,62,33,Qualidade do atendimento?,,33,1,6,"18,18%","17,65%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-12,ATENDENTE - VAB,,34,"0,00%",Pesquisa de Satisfação VAB,62,33,Qualidade do atendimento?,,33,3,1,"3,03%","2,94%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-12,ATENDENTE - VAB,,34,"0,00%",Pesquisa de Satisfação VAB,62,33,Qualidade do atendimento?,,33,4,1,"3,03%","2,94%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-12,ATENDENTE - VAB,,34,"0,00%",Pesquisa de Satisfação VAB,62,33,Qualidade do atendimento?,,33,5,25,"75,76%","73,53%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-12,CANCELAMENTO - VAB,,8,"0,00%",Pesquisa de Satisfação VAB,16,8,Qualidade da solução?,,8,1,1,"12,50%","12,50%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-12,CANCELAMENTO - VAB,,8,"0,00%",Pesquisa de Satisfação VAB,16,8,Qualidade da solução?,,8,2,1,"12,50%","12,50%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-12,CANCELAMENTO - VAB,,8,"0,00%",Pesquisa de Satisfação VAB,16,8,Qualidade da solução?,,8,4,1,"12,50%","12,50%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-12,CANCELAMENTO - VAB,,8,"0,00%",Pesquisa de Satisfação VAB,16,8,Qualidade da solução?,,8,5,5,"62,50%","62,50%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-12,CANCELAMENTO - VAB,,8,"0,00%",Pesquisa de Satisfação VAB,16,8,Qualidade do atendimento?,,8,1,1,"12,50%","12,50%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-12,CANCELAMENTO - VAB,,8,"0,00%",Pesquisa de Satisfação VAB,16,8,Qualidade do atendimento?,,8,5,7,"87,50%","87,50%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-12,ELOGIO - VAB,,5,"0,00%",Pesquisa de Satisfação VAB,9,4,Qualidade da solução?,,4,1,2,"50,00%","40,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-12,ELOGIO - VAB,,5,"0,00%",Pesquisa de Satisfação VAB,9,4,Qualidade da solução?,,4,5,2,"50,00%","40,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-12,ELOGIO - VAB,,5,"0,00%",Pesquisa de Satisfação VAB,9,5,Qualidade do atendimento?,,5,1,1,"20,00%","20,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-12,ELOGIO - VAB,,5,"0,00%",Pesquisa de Satisfação VAB,9,5,Qualidade do atendimento?,,5,5,4,"80,00%","80,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-12,INFORMAÇÃO - VAB,,5,"0,00%",Pesquisa de Satisfação VAB,10,5,Qualidade da solução?,,5,5,5,"100,00%","100,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-12,INFORMAÇÃO - VAB,,5,"0,00%",Pesquisa de Satisfação VAB,10,5,Qualidade do atendimento?,,5,5,5,"100,00%","100,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-12,TROCA - VAB,,32,"0,00%",Pesquisa de Satisfação VAB,52,22,Qualidade da solução?,,22,1,2,"9,09%","6,25%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-12,TROCA - VAB,,32,"0,00%",Pesquisa de Satisfação VAB,52,22,Qualidade da solução?,,22,3,1,"4,55%","3,13%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-12,TROCA - VAB,,32,"0,00%",Pesquisa de Satisfação VAB,52,22,Qualidade da solução?,,22,4,1,"4,55%","3,13%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-12,TROCA - VAB,,32,"0,00%",Pesquisa de Satisfação VAB,52,22,Qualidade da solução?,,22,5,18,"81,82%","56,25%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-12,TROCA - VAB,,32,"0,00%",Pesquisa de Satisfação VAB,52,30,Qualidade do atendimento?,,30,1,5,"16,67%","15,63%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-12,TROCA - VAB,,32,"0,00%",Pesquisa de Satisfação VAB,52,30,Qualidade do atendimento?,,30,2,1,"3,33%","3,13%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-12,TROCA - VAB,,32,"0,00%",Pesquisa de Satisfação VAB,52,30,Qualidade do atendimento?,,30,4,1,"3,33%","3,13%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-12,TROCA - VAB,,32,"0,00%",Pesquisa de Satisfação VAB,52,30,Qualidade do atendimento?,,30,5,23,"76,67%","71,88%"

Label,chart1_CategoryQuestion_label,chart1_CategoryQuestion_chart1_CategoryAnswer_label,chart1_CategoryQuestion_chart1_CategoryAnswer_Value_DataValue0
Quantidade,Qualidade da solução?,1,8
Quantidade,Qualidade da solução?,3,2
Quantidade,Qualidade da solução?,4,3
Quantidade,Qualidade da solução?,5,54
Quantidade,Qualidade da solução?,2,1
Quantidade,Qualidade do atendimento?,1,13
Quantidade,Qualidade do atendimento?,3,1
Quantidade,Qualidade do atendimento?,4,2
Quantidade,Qualidade do atendimento?,5,64
Quantidade,Qualidade do atendimento?,2,1

