textbox1,textbox77
Resultado do script - volume de filas por dia,"Este relatório exibe dados relacionados à chamada que usuários inseriram em scripts durante ou após chamada, relacionado ao dia e volume da fila. Inclui apenas itens que usuários podem selecionar (texto livre omitido).

Parâmetros dos relatórios: 
- Anos:    2026
- Meses:    2026-06
- Dias:    2026-06-09
- Aplicações:    ContactCenter
- Filas:    ATENDENTE - VAB,   CANCELAMENTO - VAB,   ELOGIO - VAB,   INFORMAÇÃO - VAB,   RECLAMAÇÃO - VAB,   SUGESTÃO - VAB,   TROCA - VAB
- Scripts:    Pesquisa de Satisfação VAB
- Perguntas:    Qualidade do atendimento?
- REP_XFLD_ANSWER:    1,   2,   3,   4,   5"

textbox2,textbox4,textbox19,textbox3,textbox6,textbox8,textbox10,textbox12,textbox56,textbox47,The_Date_attribute,Queue_Name_attribute_1,textbox31,textbox37,textbox9,Infocard,textbox30,textbox43,Question,textbox35,textbox36,Answer,textbox42,textbox61,textbox55
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-09,ATENDENTE - VAB,,,"0,00%",Pesquisa de Satisfação VAB,38,38,Qualidade do atendimento?,,38,1,3,"7,89%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-09,ATENDENTE - VAB,,,"0,00%",Pesquisa de Satisfação VAB,38,38,Qualidade do atendimento?,,38,2,2,"5,26%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-09,ATENDENTE - VAB,,,"0,00%",Pesquisa de Satisfação VAB,38,38,Qualidade do atendimento?,,38,4,1,"2,63%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-09,ATENDENTE - VAB,,,"0,00%",Pesquisa de Satisfação VAB,38,38,Qualidade do atendimento?,,38,5,32,"84,21%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-09,CANCELAMENTO - VAB,,,"0,00%",Pesquisa de Satisfação VAB,3,3,Qualidade do atendimento?,,3,4,1,"33,33%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-09,CANCELAMENTO - VAB,,,"0,00%",Pesquisa de Satisfação VAB,3,3,Qualidade do atendimento?,,3,5,2,"66,67%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-09,ELOGIO - VAB,,,"0,00%",Pesquisa de Satisfação VAB,1,1,Qualidade do atendimento?,,1,5,1,"100,00%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-09,INFORMAÇÃO - VAB,,,"0,00%",Pesquisa de Satisfação VAB,2,2,Qualidade do atendimento?,,2,5,2,"100,00%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-09,RECLAMAÇÃO - VAB,,,"0,00%",Pesquisa de Satisfação VAB,2,2,Qualidade do atendimento?,,2,5,2,"100,00%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-09,TROCA - VAB,,,"0,00%",Pesquisa de Satisfação VAB,22,22,Qualidade do atendimento?,,22,1,2,"9,09%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-09,TROCA - VAB,,,"0,00%",Pesquisa de Satisfação VAB,22,22,Qualidade do atendimento?,,22,3,1,"4,55%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-09,TROCA - VAB,,,"0,00%",Pesquisa de Satisfação VAB,22,22,Qualidade do atendimento?,,22,5,19,"86,36%","0,00%"

Label,chart1_CategoryQuestion_label,chart1_CategoryQuestion_chart1_CategoryAnswer_label,chart1_CategoryQuestion_chart1_CategoryAnswer_Value_DataValue0
Quantidade,Qualidade do atendimento?,1,5
Quantidade,Qualidade do atendimento?,2,2
Quantidade,Qualidade do atendimento?,4,2
Quantidade,Qualidade do atendimento?,5,58
Quantidade,Qualidade do atendimento?,3,1

