textbox1,textbox77
Resultado do script - volume de filas por dia,"Este relatório exibe dados relacionados à chamada que usuários inseriram em scripts durante ou após chamada, relacionado ao dia e volume da fila. Inclui apenas itens que usuários podem selecionar (texto livre omitido).

Parâmetros dos relatórios: 
- Anos:    2026
- Meses:    2026-06
- Dias:    2026-06-15
- Aplicações:    ContactCenter
- Filas:    ATENDENTE - VAB,   CANCELAMENTO - VAB,   ELOGIO - VAB,   INFORMAÇÃO - VAB,   RECLAMAÇÃO - VAB,   SUGESTÃO - VAB,   TROCA - VAB
- Scripts:    Pesquisa de Satisfação VAB
- Perguntas: All
- REP_XFLD_ANSWER:    1,   2,   3,   4,   5"

textbox2,textbox4,textbox19,textbox3,textbox6,textbox8,textbox10,textbox12,textbox56,textbox47,The_Date_attribute,Queue_Name_attribute_1,textbox31,textbox37,textbox9,Infocard,textbox30,textbox43,Question,textbox35,textbox36,Answer,textbox42,textbox61,textbox55
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-15,ATENDENTE - VAB,,51,"0,00%",Pesquisa de Satisfação VAB,89,43,Qualidade da solução?,,43,1,11,"25,58%","21,57%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-15,ATENDENTE - VAB,,51,"0,00%",Pesquisa de Satisfação VAB,89,43,Qualidade da solução?,,43,5,32,"74,42%","62,75%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-15,ATENDENTE - VAB,,51,"0,00%",Pesquisa de Satisfação VAB,89,46,Qualidade do atendimento?,,46,1,9,"19,57%","17,65%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-15,ATENDENTE - VAB,,51,"0,00%",Pesquisa de Satisfação VAB,89,46,Qualidade do atendimento?,,46,4,1,"2,17%","1,96%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-15,ATENDENTE - VAB,,51,"0,00%",Pesquisa de Satisfação VAB,89,46,Qualidade do atendimento?,,46,5,36,"78,26%","70,59%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-15,CANCELAMENTO - VAB,,11,"0,00%",Pesquisa de Satisfação VAB,19,10,Qualidade da solução?,,10,1,3,"30,00%","27,27%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-15,CANCELAMENTO - VAB,,11,"0,00%",Pesquisa de Satisfação VAB,19,10,Qualidade da solução?,,10,2,1,"10,00%","9,09%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-15,CANCELAMENTO - VAB,,11,"0,00%",Pesquisa de Satisfação VAB,19,10,Qualidade da solução?,,10,5,6,"60,00%","54,55%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-15,CANCELAMENTO - VAB,,11,"0,00%",Pesquisa de Satisfação VAB,19,9,Qualidade do atendimento?,,9,1,1,"11,11%","9,09%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-15,CANCELAMENTO - VAB,,11,"0,00%",Pesquisa de Satisfação VAB,19,9,Qualidade do atendimento?,,9,4,2,"22,22%","18,18%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-15,CANCELAMENTO - VAB,,11,"0,00%",Pesquisa de Satisfação VAB,19,9,Qualidade do atendimento?,,9,5,6,"66,67%","54,55%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-15,ELOGIO - VAB,,3,"0,00%",Pesquisa de Satisfação VAB,4,1,Qualidade da solução?,,1,5,1,"100,00%","33,33%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-15,ELOGIO - VAB,,3,"0,00%",Pesquisa de Satisfação VAB,4,3,Qualidade do atendimento?,,3,1,1,"33,33%","33,33%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-15,ELOGIO - VAB,,3,"0,00%",Pesquisa de Satisfação VAB,4,3,Qualidade do atendimento?,,3,5,2,"66,67%","66,67%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-15,INFORMAÇÃO - VAB,,9,"0,00%",Pesquisa de Satisfação VAB,14,5,Qualidade da solução?,,5,5,5,"100,00%","55,56%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-15,INFORMAÇÃO - VAB,,9,"0,00%",Pesquisa de Satisfação VAB,14,9,Qualidade do atendimento?,,9,1,2,"22,22%","22,22%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-15,INFORMAÇÃO - VAB,,9,"0,00%",Pesquisa de Satisfação VAB,14,9,Qualidade do atendimento?,,9,5,7,"77,78%","77,78%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-15,RECLAMAÇÃO - VAB,,3,"0,00%",Pesquisa de Satisfação VAB,5,2,Qualidade da solução?,,2,4,2,"100,00%","66,67%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-15,RECLAMAÇÃO - VAB,,3,"0,00%",Pesquisa de Satisfação VAB,5,3,Qualidade do atendimento?,,3,1,1,"33,33%","33,33%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-15,RECLAMAÇÃO - VAB,,3,"0,00%",Pesquisa de Satisfação VAB,5,3,Qualidade do atendimento?,,3,4,1,"33,33%","33,33%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-15,RECLAMAÇÃO - VAB,,3,"0,00%",Pesquisa de Satisfação VAB,5,3,Qualidade do atendimento?,,3,5,1,"33,33%","33,33%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-15,TROCA - VAB,,40,"0,00%",Pesquisa de Satisfação VAB,76,36,Qualidade da solução?,,36,1,4,"11,11%","10,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-15,TROCA - VAB,,40,"0,00%",Pesquisa de Satisfação VAB,76,36,Qualidade da solução?,,36,3,1,"2,78%","2,50%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-15,TROCA - VAB,,40,"0,00%",Pesquisa de Satisfação VAB,76,36,Qualidade da solução?,,36,4,2,"5,56%","5,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-15,TROCA - VAB,,40,"0,00%",Pesquisa de Satisfação VAB,76,36,Qualidade da solução?,,36,5,29,"80,56%","72,50%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-15,TROCA - VAB,,40,"0,00%",Pesquisa de Satisfação VAB,76,40,Qualidade do atendimento?,,40,1,6,"15,00%","15,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-15,TROCA - VAB,,40,"0,00%",Pesquisa de Satisfação VAB,76,40,Qualidade do atendimento?,,40,4,1,"2,50%","2,50%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-15,TROCA - VAB,,40,"0,00%",Pesquisa de Satisfação VAB,76,40,Qualidade do atendimento?,,40,5,33,"82,50%","82,50%"

Label,chart1_CategoryQuestion_label,chart1_CategoryQuestion_chart1_CategoryAnswer_label,chart1_CategoryQuestion_chart1_CategoryAnswer_Value_DataValue0
Quantidade,Qualidade da solução?,1,18
Quantidade,Qualidade da solução?,5,73
Quantidade,Qualidade da solução?,2,1
Quantidade,Qualidade da solução?,4,4
Quantidade,Qualidade da solução?,3,1
Quantidade,Qualidade do atendimento?,1,20
Quantidade,Qualidade do atendimento?,4,5
Quantidade,Qualidade do atendimento?,5,85

