textbox1,textbox77
Resultado do script - volume de filas por dia,"Este relatório exibe dados relacionados à chamada que usuários inseriram em scripts durante ou após chamada, relacionado ao dia e volume da fila. Inclui apenas itens que usuários podem selecionar (texto livre omitido).

Parâmetros dos relatórios: 
- Anos:    2026
- Meses:    2026-06
- Dias:    2026-06-13
- Aplicações:    ContactCenter
- Filas:    ATENDENTE - VAB,   CANCELAMENTO - VAB,   ELOGIO - VAB,   INFORMAÇÃO - VAB,   RECLAMAÇÃO - VAB,   SUGESTÃO - VAB,   TROCA - VAB
- Scripts:    Pesquisa de Satisfação VAB
- Perguntas: All
- REP_XFLD_ANSWER:    1,   2,   3,   4,   5"

textbox2,textbox4,textbox19,textbox3,textbox6,textbox8,textbox10,textbox12,textbox56,textbox47,The_Date_attribute,Queue_Name_attribute_1,textbox31,textbox37,textbox9,Infocard,textbox30,textbox43,Question,textbox35,textbox36,Answer,textbox42,textbox61,textbox55
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-13,ATENDENTE - VAB,,31,"0,00%",Pesquisa de Satisfação VAB,55,28,Qualidade da solução?,,28,1,4,"14,29%","12,90%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-13,ATENDENTE - VAB,,31,"0,00%",Pesquisa de Satisfação VAB,55,28,Qualidade da solução?,,28,3,3,"10,71%","9,68%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-13,ATENDENTE - VAB,,31,"0,00%",Pesquisa de Satisfação VAB,55,28,Qualidade da solução?,,28,4,3,"10,71%","9,68%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-13,ATENDENTE - VAB,,31,"0,00%",Pesquisa de Satisfação VAB,55,28,Qualidade da solução?,,28,5,18,"64,29%","58,06%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-13,ATENDENTE - VAB,,31,"0,00%",Pesquisa de Satisfação VAB,55,27,Qualidade do atendimento?,,27,1,3,"11,11%","9,68%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-13,ATENDENTE - VAB,,31,"0,00%",Pesquisa de Satisfação VAB,55,27,Qualidade do atendimento?,,27,3,2,"7,41%","6,45%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-13,ATENDENTE - VAB,,31,"0,00%",Pesquisa de Satisfação VAB,55,27,Qualidade do atendimento?,,27,5,22,"81,48%","70,97%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-13,CANCELAMENTO - VAB,,6,"0,00%",Pesquisa de Satisfação VAB,12,6,Qualidade da solução?,,6,1,1,"16,67%","16,67%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-13,CANCELAMENTO - VAB,,6,"0,00%",Pesquisa de Satisfação VAB,12,6,Qualidade da solução?,,6,5,5,"83,33%","83,33%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-13,CANCELAMENTO - VAB,,6,"0,00%",Pesquisa de Satisfação VAB,12,6,Qualidade do atendimento?,,6,1,1,"16,67%","16,67%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-13,CANCELAMENTO - VAB,,6,"0,00%",Pesquisa de Satisfação VAB,12,6,Qualidade do atendimento?,,6,5,5,"83,33%","83,33%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-13,ELOGIO - VAB,,2,"0,00%",Pesquisa de Satisfação VAB,3,2,Qualidade da solução?,,2,5,2,"100,00%","100,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-13,ELOGIO - VAB,,2,"0,00%",Pesquisa de Satisfação VAB,3,1,Qualidade do atendimento?,,1,5,1,"100,00%","50,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-13,INFORMAÇÃO - VAB,,2,"0,00%",Pesquisa de Satisfação VAB,4,2,Qualidade da solução?,,2,1,1,"50,00%","50,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-13,INFORMAÇÃO - VAB,,2,"0,00%",Pesquisa de Satisfação VAB,4,2,Qualidade da solução?,,2,5,1,"50,00%","50,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-13,INFORMAÇÃO - VAB,,2,"0,00%",Pesquisa de Satisfação VAB,4,2,Qualidade do atendimento?,,2,1,1,"50,00%","50,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-13,INFORMAÇÃO - VAB,,2,"0,00%",Pesquisa de Satisfação VAB,4,2,Qualidade do atendimento?,,2,5,1,"50,00%","50,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-13,TROCA - VAB,,19,"0,00%",Pesquisa de Satisfação VAB,33,16,Qualidade da solução?,,16,1,4,"25,00%","21,05%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-13,TROCA - VAB,,19,"0,00%",Pesquisa de Satisfação VAB,33,16,Qualidade da solução?,,16,2,1,"6,25%","5,26%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-13,TROCA - VAB,,19,"0,00%",Pesquisa de Satisfação VAB,33,16,Qualidade da solução?,,16,3,1,"6,25%","5,26%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-13,TROCA - VAB,,19,"0,00%",Pesquisa de Satisfação VAB,33,16,Qualidade da solução?,,16,5,10,"62,50%","52,63%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-13,TROCA - VAB,,19,"0,00%",Pesquisa de Satisfação VAB,33,17,Qualidade do atendimento?,,17,1,3,"17,65%","15,79%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-13,TROCA - VAB,,19,"0,00%",Pesquisa de Satisfação VAB,33,17,Qualidade do atendimento?,,17,2,1,"5,88%","5,26%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-13,TROCA - VAB,,19,"0,00%",Pesquisa de Satisfação VAB,33,17,Qualidade do atendimento?,,17,3,1,"5,88%","5,26%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-13,TROCA - VAB,,19,"0,00%",Pesquisa de Satisfação VAB,33,17,Qualidade do atendimento?,,17,5,12,"70,59%","63,16%"

Label,chart1_CategoryQuestion_label,chart1_CategoryQuestion_chart1_CategoryAnswer_label,chart1_CategoryQuestion_chart1_CategoryAnswer_Value_DataValue0
Quantidade,Qualidade da solução?,1,10
Quantidade,Qualidade da solução?,3,4
Quantidade,Qualidade da solução?,4,3
Quantidade,Qualidade da solução?,5,36
Quantidade,Qualidade da solução?,2,1
Quantidade,Qualidade do atendimento?,1,8
Quantidade,Qualidade do atendimento?,3,3
Quantidade,Qualidade do atendimento?,5,41
Quantidade,Qualidade do atendimento?,2,1

