textbox1,textbox77
Resultado do script - volume de filas por dia,"Este relatório exibe dados relacionados à chamada que usuários inseriram em scripts durante ou após chamada, relacionado ao dia e volume da fila. Inclui apenas itens que usuários podem selecionar (texto livre omitido).

Parâmetros dos relatórios: 
- Anos:    2026
- Meses:    2026-06
- Dias:    2026-06-16
- Aplicações:    ContactCenter
- Filas:    ATENDENTE - VAB,   CANCELAMENTO - VAB,   ELOGIO - VAB,   INFORMAÇÃO - VAB,   RECLAMAÇÃO - VAB,   SUGESTÃO - VAB,   TROCA - VAB
- Scripts:    Pesquisa de Satisfação VAB
- Perguntas:    Qualidade do atendimento?
- REP_XFLD_ANSWER:    1,   2,   3,   4,   5"

textbox2,textbox4,textbox19,textbox3,textbox6,textbox8,textbox10,textbox12,textbox56,textbox47,The_Date_attribute,Queue_Name_attribute_1,textbox31,textbox37,textbox9,Infocard,textbox30,textbox43,Question,textbox35,textbox36,Answer,textbox42,textbox61,textbox55
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-16,ATENDENTE - VAB,,,"0,00%",Pesquisa de Satisfação VAB,71,71,Qualidade do atendimento?,,71,1,11,"15,49%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-16,ATENDENTE - VAB,,,"0,00%",Pesquisa de Satisfação VAB,71,71,Qualidade do atendimento?,,71,2,1,"1,41%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-16,ATENDENTE - VAB,,,"0,00%",Pesquisa de Satisfação VAB,71,71,Qualidade do atendimento?,,71,4,5,"7,04%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-16,ATENDENTE - VAB,,,"0,00%",Pesquisa de Satisfação VAB,71,71,Qualidade do atendimento?,,71,5,54,"76,06%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-16,CANCELAMENTO - VAB,,,"0,00%",Pesquisa de Satisfação VAB,6,6,Qualidade do atendimento?,,6,5,6,"100,00%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-16,ELOGIO - VAB,,,"0,00%",Pesquisa de Satisfação VAB,4,4,Qualidade do atendimento?,,4,1,1,"25,00%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-16,ELOGIO - VAB,,,"0,00%",Pesquisa de Satisfação VAB,4,4,Qualidade do atendimento?,,4,5,3,"75,00%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-16,INFORMAÇÃO - VAB,,,"0,00%",Pesquisa de Satisfação VAB,6,6,Qualidade do atendimento?,,6,1,1,"16,67%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-16,INFORMAÇÃO - VAB,,,"0,00%",Pesquisa de Satisfação VAB,6,6,Qualidade do atendimento?,,6,5,5,"83,33%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-16,RECLAMAÇÃO - VAB,,,"0,00%",Pesquisa de Satisfação VAB,1,1,Qualidade do atendimento?,,1,3,1,"100,00%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-16,TROCA - VAB,,,"0,00%",Pesquisa de Satisfação VAB,30,30,Qualidade do atendimento?,,30,1,6,"20,00%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-16,TROCA - VAB,,,"0,00%",Pesquisa de Satisfação VAB,30,30,Qualidade do atendimento?,,30,2,1,"3,33%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-16,TROCA - VAB,,,"0,00%",Pesquisa de Satisfação VAB,30,30,Qualidade do atendimento?,,30,3,1,"3,33%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-16,TROCA - VAB,,,"0,00%",Pesquisa de Satisfação VAB,30,30,Qualidade do atendimento?,,30,4,3,"10,00%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-16,TROCA - VAB,,,"0,00%",Pesquisa de Satisfação VAB,30,30,Qualidade do atendimento?,,30,5,19,"63,33%","0,00%"

Label,chart1_CategoryQuestion_label,chart1_CategoryQuestion_chart1_CategoryAnswer_label,chart1_CategoryQuestion_chart1_CategoryAnswer_Value_DataValue0
Quantidade,Qualidade do atendimento?,1,19
Quantidade,Qualidade do atendimento?,2,2
Quantidade,Qualidade do atendimento?,4,8
Quantidade,Qualidade do atendimento?,5,87
Quantidade,Qualidade do atendimento?,3,2

