textbox1,textbox77
Resultado do script - volume de filas por dia,"Este relatório exibe dados relacionados à chamada que usuários inseriram em scripts durante ou após chamada, relacionado ao dia e volume da fila. Inclui apenas itens que usuários podem selecionar (texto livre omitido).

Parâmetros dos relatórios: 
- Anos:    2026
- Meses:    2026-06
- Dias:    2026-06-10
- Aplicações:    ContactCenter
- Filas:    ATENDENTE - VAB,   CANCELAMENTO - VAB,   ELOGIO - VAB,   INFORMAÇÃO - VAB,   RECLAMAÇÃO - VAB,   SUGESTÃO - VAB,   TROCA - VAB
- Scripts:    Pesquisa de Satisfação VAB
- Perguntas:    Qualidade do atendimento?
- REP_XFLD_ANSWER:    1,   2,   3,   4,   5"

textbox2,textbox4,textbox19,textbox3,textbox6,textbox8,textbox10,textbox12,textbox56,textbox47,The_Date_attribute,Queue_Name_attribute_1,textbox31,textbox37,textbox9,Infocard,textbox30,textbox43,Question,textbox35,textbox36,Answer,textbox42,textbox61,textbox55
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-10,ATENDENTE - VAB,,,"0,00%",Pesquisa de Satisfação VAB,38,38,Qualidade do atendimento?,,38,1,6,"15,79%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-10,ATENDENTE - VAB,,,"0,00%",Pesquisa de Satisfação VAB,38,38,Qualidade do atendimento?,,38,2,1,"2,63%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-10,ATENDENTE - VAB,,,"0,00%",Pesquisa de Satisfação VAB,38,38,Qualidade do atendimento?,,38,3,1,"2,63%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-10,ATENDENTE - VAB,,,"0,00%",Pesquisa de Satisfação VAB,38,38,Qualidade do atendimento?,,38,5,30,"78,95%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-10,CANCELAMENTO - VAB,,,"0,00%",Pesquisa de Satisfação VAB,7,7,Qualidade do atendimento?,,7,1,2,"28,57%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-10,CANCELAMENTO - VAB,,,"0,00%",Pesquisa de Satisfação VAB,7,7,Qualidade do atendimento?,,7,5,5,"71,43%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-10,ELOGIO - VAB,,,"0,00%",Pesquisa de Satisfação VAB,2,2,Qualidade do atendimento?,,2,5,2,"100,00%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-10,INFORMAÇÃO - VAB,,,"0,00%",Pesquisa de Satisfação VAB,1,1,Qualidade do atendimento?,,1,1,1,"100,00%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-10,RECLAMAÇÃO - VAB,,,"0,00%",Pesquisa de Satisfação VAB,2,2,Qualidade do atendimento?,,2,1,1,"50,00%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-10,RECLAMAÇÃO - VAB,,,"0,00%",Pesquisa de Satisfação VAB,2,2,Qualidade do atendimento?,,2,4,1,"50,00%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-10,TROCA - VAB,,,"0,00%",Pesquisa de Satisfação VAB,29,29,Qualidade do atendimento?,,29,1,5,"17,24%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-10,TROCA - VAB,,,"0,00%",Pesquisa de Satisfação VAB,29,29,Qualidade do atendimento?,,29,3,1,"3,45%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-10,TROCA - VAB,,,"0,00%",Pesquisa de Satisfação VAB,29,29,Qualidade do atendimento?,,29,4,1,"3,45%","0,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-10,TROCA - VAB,,,"0,00%",Pesquisa de Satisfação VAB,29,29,Qualidade do atendimento?,,29,5,22,"75,86%","0,00%"

Label,chart1_CategoryQuestion_label,chart1_CategoryQuestion_chart1_CategoryAnswer_label,chart1_CategoryQuestion_chart1_CategoryAnswer_Value_DataValue0
Quantidade,Qualidade do atendimento?,1,15
Quantidade,Qualidade do atendimento?,2,1
Quantidade,Qualidade do atendimento?,3,2
Quantidade,Qualidade do atendimento?,5,59
Quantidade,Qualidade do atendimento?,4,2

